X,Cosine
-8,000000;0,145501
-7,900000;0,046004
-7,800000;0,053956
-7,700000;0,153374
-7,600000;0,251260
-7,500000;0,346635
-7,400000;0,438547
-7,300000;0,526077
-7,200000;0,608351
-7,100000;0,684547
-7,000000;0,753902
-6,900000;0,815725
-6,800000;0,869397
-6,700000;0,914383
-6,600000;0,950233
-6,500000;0,976588
-6,400000;0,993185
-6,300000;0,999859
-6,200000;0,996542
-6,100000;0,983268
-6,000000;0,960170
-5,900000;0,927478
-5,800000;0,885520
-5,700000;0,834713
-5,600000;0,775566
-5,500000;0,708670
-5,400000;0,634693
-5,300000;0,554374
-5,200000;0,468517
-5,100000;0,377977
-5,000000;0,283662
-4,900000;0,186512
-4,800000;0,087499
-4,700000;0,012394
-4,600000;0,112154
-4,500000;0,210797
-4,400000;0,307335
-4,300000;0,400799
-4,200000;0,490261
-4,100000;0,574824
-4,000000;0,653643
-3,900000;0,725932
-3,800000;0,790967
-3,700000;0,848099
-3,600000;0,896758
-3,500000;0,936457
-3,400000;0,966798
-3,300000;0,987480
-3,200000;0,998295
-3,100000;0,999135
-3,000000;0,989993
-2,900000;0,970958
-2,800000;0,942222
-2,700000;0,904072
-2,600000;0,856888
-2,500000;0,801143
-2,400000;0,737393
-2,300000;0,666276
-2,200000;0,588501
-2,100000;0,504846
-2,000000;0,416147
-1,900000;0,323292
-1,800000;0,227204
-1,700000;0,128846
-1,600000;0,029202
-1,500000;0,070738
-1,400000;0,169967
-1,300000;0,267499
-1,200000;0,362357
-1,100000;0,453596
-1,000000;0,540302
-0,900000;0,621610
-0,800000;0,696707
-0,700000;0,764842
-0,600000;0,825336
-0,500000;0,877583
-0,400000;0,921061
-0,300000;0,955336
-0,200000;0,980067
-0,100000;0,995004
-0,000000;1,000000
0,100000;0,995004
0,200000;0,980067
0,300000;0,955336
0,400000;0,921061
0,500000;0,877583
0,600000;0,825336
0,700000;0,764842
0,800000;0,696707
0,900000;0,621610
1,000000;0,540302
1,100000;0,453596
1,200000;0,362357
1,300000;0,267499
1,400000;0,169967
1,500000;0,070738
1,600000;0,029202
1,700000;0,128846
1,800000;0,227204
1,900000;0,323292
2,000000;0,416147
2,100000;0,504846
2,200000;0,588501
2,300000;0,666276
2,400000;0,737393
2,500000;0,801143
2,600000;0,856888
2,700000;0,904072
2,800000;0,942222
2,900000;0,970958
3,000000;0,989993
3,100000;0,999135
3,200000;0,998295
3,300000;0,987480
3,400000;0,966798
3,500000;0,936457
3,600000;0,896758
3,700000;0,848099
3,800000;0,790967
3,900000;0,725932
4,000000;0,653643
4,100000;0,574824
4,200000;0,490261
4,300000;0,400799
4,400000;0,307335
4,500000;0,210797
4,600000;0,112154
4,700000;0,012394
4,800000;0,087499
4,900000;0,186512
5,000000;0,283662
5,100000;0,377977
5,200000;0,468517
5,300000;0,554374
5,400000;0,634693
5,500000;0,708670
5,600000;0,775566
5,700000;0,834713
5,800000;0,885520
5,900000;0,927478
6,000000;0,960170
6,100000;0,983268
6,200000;0,996542
6,300000;0,999859
6,400000;0,993185
6,500000;0,976588
6,600000;0,950233
6,700000;0,914383
6,800000;0,869397
6,900000;0,815725
7,000000;0,753902
7,100000;0,684547
7,200000;0,608351
7,300000;0,526077
7,400000;0,438547
7,500000;0,346635
7,600000;0,251260
7,700000;0,153374
7,800000;0,053956
7,900000;0,046004
8,000000;0,145501
