X,LogarithmBase2
0,001000;-7,355675
0,101000;-3,300331
0,201000;-2,313449
0,301000;-1,731722
0,401000;-1,318098
0,501000;-0,997028
0,601000;-0,734513
0,701000;-0,512479
0,801000;-0,320111
0,901000;-0,150395
1,001000;0,001442
1,101000;0,138810
1,201000;0,264224
1,301000;0,379605
1,401000;0,486435
1,501000;0,585893
1,601000;0,678966
1,701000;0,766371
1,801000;0,848741
1,901000;0,926756
2,001000;1,000721
2,101000;1,071074
2,201000;1,138154
2,301000;1,202253
2,401000;1,263624
2,501000;1,322496
2,601000;1,379050
2,701000;1,433481
2,801000;1,485920
2,901000;1,536537
3,001000;1,585413
3,101000;1,632727
3,201000;1,678515
3,301000;1,722864
3,401000;1,765947
3,501000;1,807756
3,601000;1,848341
3,701000;1,887858
3,801000;1,926376
3,901000;1,963841
4,001000;2,000361
4,101000;2,035974
4,201000;2,070730
4,301000;2,104668
4,401000;2,137827
4,501000;2,170240
4,601000;2,201940
4,701000;2,232958
4,801000;2,263323
4,901000;2,293067
5,001000;2,322207
5,101000;2,350772
5,201000;2,378773
5,301000;2,406245
5,401000;2,433214
5,501000;2,459683
5,601000;2,485663
5,701000;2,511189
5,801000;2,536288
5,901000;2,560950
6,001000;2,585173
6,101000;2,609032
6,201000;2,632494
6,301000;2,655542
6,401000;2,678289
6,501000;2,700618
6,601000;2,722645
6,701000;2,744367
6,801000;2,765735
6,901000;2,786754
7,001000;2,807550
7,101000;2,828016
7,201000;2,848140
7,301000;2,868035
7,401000;2,887663
7,501000;2,907077
7,601000;2,926186
7,701000;2,945044
7,801000;2,963591
7,901000;2,981966
8,001000;3,000180
8,101000;3,018099
8,201000;3,035799
8,301000;3,053283
8,401000;3,070558
8,501000;3,087629
8,601000;3,104501
8,701000;3,121177
8,801000;3,137663
8,901000;3,153962
9,001000;3,170080
9,101000;3,186020
9,201000;3,201783
9,301000;3,217377
9,401000;3,232805
9,501000;3,248069
9,601000;3,263173
9,701000;3,278124
9,801000;3,292919
9,901000;3,307565
10,001000;3,322063
10,101000;3,336417
10,201000;3,350631
10,301000;3,364698
10,401000;3,378634
10,501000;3,392437
10,601000;3,406109
10,701000;3,419652
10,801000;3,433080
10,901000;3,446377
11,001000;3,459552
11,101000;3,472609
11,201000;3,485534
11,301000;3,498355
11,401000;3,511062
11,501000;3,523658
11,601000;3,536164
11,701000;3,548548
11,801000;3,560828
11,901000;3,572983
12,001000;3,585052
12,101000;3,597020
12,201000;3,608914
12,301000;3,620693
12,401000;3,632378
12,501000;3,643937
12,601000;3,655427
12,701000;3,666858
12,801000;3,678176
12,901000;3,689373
13,001000;3,700507
13,101000;3,711595
13,201000;3,722536
13,301000;3,733418
13,401000;3,744259
13,501000;3,754951
13,601000;3,765629
13,701000;3,776204
13,801000;3,786650
13,901000;3,797112
14,001000;3,807447
14,101000;3,817676
14,201000;3,827914
14,301000;3,838035
14,401000;3,848040
14,501000;3,858024
14,601000;3,867937
14,701000;3,877836
14,801000;3,887566
14,901000;3,897332
15,001000;3,906981
15,101000;3,916569
15,201000;3,926090
15,301000;3,935490
15,401000;3,944950
15,501000;3,954223
15,601000;3,963499
15,701000;3,972783
15,801000;3,981943
15,901000;3,991045
16,001000;4,000090
16,101000;4,009078
16,201000;4,018010
16,301000;4,026888
16,401000;4,035711
16,501000;4,044480
16,601000;4,053196
16,701000;4,061860
16,801000;4,070473
16,901000;4,079034
17,001000;4,087544
17,101000;4,096005
17,201000;4,104417
17,301000;4,112780
17,401000;4,121094
17,501000;4,129361
17,601000;4,137581
17,701000;4,145754
17,801000;4,153881
17,901000;4,161963
18,001000;4,170000
18,101000;4,177992
18,201000;4,185941
18,301000;4,193843
18,401000;4,201705
18,501000;4,209523
18,601000;4,217300
18,701000;4,225035
18,801000;4,232728
18,901000;4,240381
19,001000;4,247993
19,101000;4,255565
19,201000;4,263098
19,301000;4,270591
19,401000;4,278050
19,501000;4,285467
19,601000;4,292846
19,701000;4,300187
19,801000;4,307492
19,901000;4,314760
