X,Tangent
-8,000000;-6,799654
-7,900000;-21,714272
-7,800000;-18,506594
-7,700000;-6,442868
-7,600000;-3,852265
-7,500000;-2,706019
-7,400000;-2,049285
-7,300000;-1,616562
-7,200000;-1,304621
-7,100000;-1,064893
-7,000000;-0,871448
-6,900000;-0,709111
-6,800000;-0,568340
-6,700000;-0,442757
-6,600000;-0,327858
-6,500000;-0,220277
-6,400000;-0,117349
-6,300000;-0,016816
-6,200000;0,083378
-6,100000;0,185262
-6,000000;0,291006
-5,900000;0,403111
-5,800000;0,524666
-5,700000;0,659731
-5,600000;0,813943
-5,500000;0,995584
-5,400000;1,217541
-5,300000;1,501274
-5,200000;1,885642
-5,100000;2,449392
-5,000000;3,380515
-4,900000;5,267491
-4,800000;11,384831
-4,700000;80,680019
-4,600000;8,860077
-4,500000;4,637301
-4,400000;3,096303
-4,300000;2,285848
-4,200000;1,777780
-4,100000;1,423527
-4,000000;1,157822
-3,900000;0,947426
-3,800000;0,773557
-3,700000;0,624735
-3,600000;0,493467
-3,500000;0,374586
-3,400000;0,264317
-3,300000;0,159745
-3,200000;0,058473
-3,100000;-0,041616
-3,000000;-0,142546
-2,900000;-0,246405
-2,800000;-0,355530
-2,700000;-0,472728
-2,600000;-0,601599
-2,500000;-0,747024
-2,400000;-0,916015
-2,300000;-1,119214
-2,200000;-1,373824
-2,100000;-1,709847
-2,000000;-2,185040
-1,900000;-2,927078
-1,800000;-4,286234
-1,700000;-7,696529
-1,600000;-34,229663
-1,500000;-14,101333
-1,400000;-5,797881
-1,300000;-3,602102
-1,200000;-2,572155
-1,100000;-1,964760
-1,000000;-1,557408
-0,900000;-1,260158
-0,800000;-1,029639
-0,700000;-0,842288
-0,600000;-0,684137
-0,500000;-0,546302
-0,400000;-0,422793
-0,300000;-0,309336
-0,200000;-0,202710
-0,100000;-0,100335
-0,000000;-0,000000
0,100000;0,100335
0,200000;0,202710
0,300000;0,309336
0,400000;0,422793
0,500000;0,546302
0,600000;0,684137
0,700000;0,842288
0,800000;1,029639
0,900000;1,260158
1,000000;1,557408
1,100000;1,964760
1,200000;2,572155
1,300000;3,602102
1,400000;5,797881
1,500000;14,101333
1,600000;34,229663
1,700000;7,696529
1,800000;4,286234
1,900000;2,927078
2,000000;2,185040
2,100000;1,709847
2,200000;1,373824
2,300000;1,119214
2,400000;0,916015
2,500000;0,747024
2,600000;0,601599
2,700000;0,472728
2,800000;0,355530
2,900000;0,246405
3,000000;0,142546
3,100000;0,041616
3,200000;-0,058473
3,300000;-0,159745
3,400000;-0,264317
3,500000;-0,374586
3,600000;-0,493467
3,700000;-0,624735
3,800000;-0,773557
3,900000;-0,947426
4,000000;-1,157822
4,100000;-1,423527
4,200000;-1,777780
4,300000;-2,285848
4,400000;-3,096303
4,500000;-4,637301
4,600000;-8,860077
4,700000;-80,680019
4,800000;-11,384831
4,900000;-5,267491
5,000000;-3,380515
5,100000;-2,449392
5,200000;-1,885642
5,300000;-1,501274
5,400000;-1,217541
5,500000;-0,995584
5,600000;-0,813943
5,700000;-0,659731
5,800000;-0,524666
5,900000;-0,403111
6,000000;-0,291006
6,100000;-0,185262
6,200000;-0,083378
6,300000;0,016816
6,400000;0,117349
6,500000;0,220277
6,600000;0,327858
6,700000;0,442757
6,800000;0,568340
6,900000;0,709111
7,000000;0,871448
7,100000;1,064893
7,200000;1,304621
7,300000;1,616562
7,400000;2,049285
7,500000;2,706019
7,600000;3,852265
7,700000;6,442868
7,800000;18,506594
7,900000;21,714272
8,000000;6,799654
